"Departamento","Municipio","Variable","Unidades","Num_Excedencias","Por_Excedencias","Mediana","Percentil98","Max","Min","Dias_Excedencia","Año"
"Cundinamarca","Mosquera","PM10","ugm3",0,0,29,47.1,49,4,0,"2014"
"Cundinamarca","Mosquera","PST","ugm3",0,0,37.5,69.3,73,11,0,"2014"
"Cundinamarca","La calera","NO2","ugm3",0,0,10.4,10.7,10.8,9.6,0,"2014"
"Cundinamarca","La calera","PM10","ugm3",0,0,39,40,40,37,0,"2014"
"Cundinamarca","Nemocón","NO2","ugm3",0,0,13.7,14.1,14.3,13,0,"2014"
"Cundinamarca","Nemocón","PM10","ugm3",0,0,76,78,79,73,0,"2014"
"Cundinamarca","Zipaquirá","PM10","ugm3",0,0,38,66.7,81,15,0,"2014"
"Boyacá","Ráquira","NO2","ugm3",0,0,13.5,14.1,16,12.8,0,"2014"
"Boyacá","Ráquira","PM10","ugm3",0,0,81,83,84,50,0,"2014"
"Cundinamarca","Cogua","PM10","ugm3",1,0.46,50,90,112,9,1,"2014"
"Cundinamarca","Cogua","PST","ugm3",0,0,29,46.5,49,19,0,"2014"
"Cundinamarca","Cajicá","NO2","ugm3",0,0,12.7,13.2,14.3,11.8,0,"2014"
"Cundinamarca","Cajicá","PM10","ugm3",0,0,58,60,60,54,0,"2014"
"Cundinamarca","Funza","NO2","ugm3",0,0,4.3,10,10.9,0.1,0,"2014"
"Cundinamarca","Funza","PM10","ugm3",0,0,43,70.7,80,6,0,"2014"
"Cundinamarca","Funza","PST","ugm3",0,0,60,101.2,107,12,0,"2014"
"Cundinamarca","Bogotá, d.c.","NO2","ugm3",0,0,5.9,11.5,11.9,0.2,0,"2014"
"Cundinamarca","Bogotá, d.c.","PM10","ugm3",0,0,61,92,98,12,0,"2014"
"Cundinamarca","Mosquera","NO2","ugm3",0,0,2.8,5.8,9,0.1,0,"2014"
"Cundinamarca","Mosquera","PM10","ugm3",1,1.14,42.5,94,107,16,1,"2014"
"Cundinamarca","Madrid","NO2","ugm3",0,0,7.2,13.2,13.4,0.4,0,"2014"
"Cundinamarca","Madrid","PM10","ugm3",0,0,40,91.5,96,2,0,"2014"
"Cundinamarca","Madrid","PST","ugm3",0,0,51,102.5,121,9,0,"2014"
"Cundinamarca","Sopó","NO2","ugm3",0,0,11.2,26.6,27.6,0.1,0,"2014"
"Cundinamarca","Sopó","PM10","ugm3",15,4.27,67,111,139,19,15,"2014"
"Cundinamarca","Tausa","NO2","ugm3",0,0,6.6,7.5,7.7,5.3,0,"2014"
"Cundinamarca","Tausa","PM10","ugm3",0,0,55,60.2,65,48,0,"2014"
"Risaralda","Dosquebradas","PM10","ugm3",0,0,42,84.2,88,18,0,"2014"
"Risaralda","La virginia","PST","ugm3",0,0,23,52.4,69,9,0,"2014"
"Risaralda","Pereira","PM10","ugm3",1,2.7,36,69,110,10,1,"2014"
"Risaralda","Pereira","PM10","ugm3",0,0,27,50.4,60,9,0,"2014"
"Santander","Bucaramanga","CO","mgm3",0,0,3.4,6.5,8.9,0.1,0,"2014"
"Santander","Bucaramanga","CO","mgm3",0,0,3.6,5.7,6.4,0.2,0,"2014"
"Santander","Bucaramanga","O3","ugm3",0,0,13.5,41.2,58.6,0.2,0,"2014"
"Santander","Bucaramanga","O3","ugm3",0,0,12.9,31.2,36.3,3,0,"2014"
"Santander","Bucaramanga","PM10","ugm3",0,0,42.7,101.4,140.4,0.4,0,"2014"
"Santander","Bucaramanga","PM10","ugm3",0,0,45,79.4,89,12,0,"2014"
"Santander","Bucaramanga","CO","mgm3",0,0,0.7,2,4.6,0.1,0,"2014"
"Santander","Bucaramanga","CO","mgm3",0,0,0.8,1.3,1.8,0.3,0,"2014"
"Santander","Bucaramanga","NO","ugm3",0,0,4,25.6,54,1.3,0,"2014"
"Santander","Bucaramanga","NO2","ugm3",0,0,13.1,25,51.7,2.1,0,"2014"
"Santander","Bucaramanga","NO2","ugm3",0,0,13.8,19.7,22.6,8.3,0,"2014"
"Santander","Bucaramanga","PM10","ugm3",0,0,41.3,97.2,108.9,1.9,0,"2014"
"Santander","Bucaramanga","PM10","ugm3",0,0,46,60,60,29,0,"2014"
"Santander","Bucaramanga","CO","mgm3",0,0,1.9,3.1,4.1,0.1,0,"2014"
"Santander","Bucaramanga","CO","mgm3",0,0,2,2.7,3.3,0.4,0,"2014"
"Santander","Bucaramanga","PM10","ugm3",0,0,62.2,83.9,113,2.4,0,"2014"
"Santander","Bucaramanga","PM10","ugm3",0,0,61,81,83,12,0,"2014"
"Santander","Floridablanca","PM10","ugm3",0,0,12.1,19.5,22.9,0.1,0,"2014"
"Santander","Floridablanca","PM10","ugm3",0,0,10,16,16,7,0,"2014"
"Antioquia","Amalfi","PM10","ugm3",0,0,28.5,50,61,18,0,"2014"
"Antioquia","Caracolí","PM10","ugm3",0,0,26,34,34,22,0,"2014"
"Antioquia","Carolina","PM10","ugm3",0,0,23.5,30,30,17,0,"2014"
"Antioquia","Cisneros","PM2.5","ugm3",0,0,18,19,19,13,0,"2014"
"Antioquia","Ciudad bolívar","PM10","ugm3",0,0,68,70.9,71,60,0,"2014"
"Antioquia","Entrerríos","PM10","ugm3",0,0,24,27.9,28,10,0,"2014"
"Antioquia","Gómez plata","PM2.5","ugm3",0,0,11,13.7,14,7,0,"2014"
"Antioquia","Puerto berrío","PM10","ugm3",0,0,44,77.4,86,31,0,"2014"
"Antioquia","Remedios","PM10","ugm3",0,0,42.5,69.3,72,24,0,"2014"
"Antioquia","Salgar","PM2.5","ugm3",0,0,16,21.5,22,13,0,"2014"
"Antioquia","Segovia","PM10","ugm3",1,5,54.5,100.7,106,26,1,"2014"
"Antioquia","Yolombó","PM10","ugm3",0,0,29,37.2,38,19,0,"2014"
"Antioquia","Medellín","PM10","ugm3",0,0,55,200.3,437,2,0,"2014"
"Antioquia","Medellín","PM10","ugm3",4,1.57,67,94.9,117,32,4,"2014"
"Antioquia","Guarne","PM10","ugm3",0,0,23,32.4,34,15,0,"2014"
"Antioquia","Rionegro","PM10","ugm3",0,0,27,39.5,40,16,0,"2014"
"Antioquia","Rionegro","PM10","ugm3",0,0,16,28.3,31,7,0,"2014"
"Magdalena","Santa marta","PST","ugm3",0,0,75,200.6,202,27,0,"2014"
"Magdalena","Santa marta","PM10","ugm3",0,0,28,46.8,56,15,0,"2014"
"Magdalena","Santa marta","PST","ugm3",0,0,92,136.4,152,37,0,"2014"
"Magdalena","Santa marta","PST","ugm3",0,0,86,186.8,213,20,0,"2014"
"Magdalena","Santa marta","PST","ugm3",0,0,72,172.5,222,18,0,"2014"
"Magdalena","Santa marta","PST","ugm3",0,0,77,153.7,184,19,0,"2014"
"Magdalena","Santa marta","PM10","ugm3",0,0,32,81.8,91,13,0,"2014"
"Magdalena","Ciénaga","PM10","ugm3",0,0,46,87.4,94,16,0,"2014"
"Magdalena","Ciénaga","PST","ugm3",0,0,64.5,146.9,153,20,0,"2014"
"Magdalena","Santa marta","PM10","ugm3",0,0,44,77.9,89,14,0,"2014"
"Magdalena","Santa marta","PST","ugm3",0,0,82,140.4,160,29,0,"2014"
"Magdalena","Santa marta","PST","ugm3",0,0,103,209.1,228,40,0,"2014"
"Magdalena","Santa marta","PM10","ugm3",21,18.42,62.5,159.1,194,13,21,"2014"
"Magdalena","Ciénaga","PST","ugm3",0,0,85,171.4,174,27,0,"2014"
"Magdalena","Santa marta","PM10","ugm3",0,0,26,91.4,97,13,0,"2014"
"Boyacá","Sogamoso","PM10","ugm3",0,0,35,128.1,409,1,0,"2014"
"Boyacá","Sogamoso","PM10","ugm3",0,0,39.5,81.5,95,14,0,"2014"
"Boyacá","Sogamoso","PM10","ugm3",0,0,32,98,402.5,1,0,"2014"
"Boyacá","Sogamoso","PM10","ugm3",0,0,35,68.5,99,13,0,"2014"
"Boyacá","Sogamoso","PM10","ugm3",0,0,39,126,548,1,0,"2014"
"Boyacá","Sogamoso","PM10","ugm3",0,0,43,88.7,95,16,0,"2014"
"Caldas","Manizales","PM10","ugm3",0,0,37,60.9,67,13,0,"2014"
"Caldas","Manizales","PST","ugm3",0,0,67,95,101,41,0,"2014"
"Caldas","Manizales","PM10","ugm3",0,0,25,40.9,43,9,0,"2014"
"Caldas","Manizales","PM2.5","ugm3",0,0,17.5,32.1,37,3,0,"2014"
"Caldas","Manizales","PST","ugm3",0,0,80,130.6,132,18,0,"2014"
"Caldas","Manizales","PM10","ugm3",0,0,29,51,58,9,0,"2014"
"Cesar","Valledupar","PM10","ugm3",0,0,22.5,50,56,8,0,"2014"
"Cesar","Valledupar","PM10","ugm3",2,1.69,43,86.3,116,15,2,"2014"
"Cesar","El paso","PM10","ugm3",1,1.08,37,87.1,108,12,1,"2014"
"Cesar","El paso","PM2.5","ugm3",0,0,19,36,46,4,0,"2014"
"Cesar","El paso","PST","ugm3",0,0,117,241.8,289,26,0,"2014"
"Cesar","La jagua de ibirico","PM10","ugm3",6,5.22,37,111.7,129,7,6,"2014"
"Cesar","La jagua de ibirico","PM2.5","ugm3",0,0,15,38.7,49,4,0,"2014"
"Cesar","La jagua de ibirico","PST","ugm3",0,0,101,251,272,20,0,"2014"
"Cesar","El paso","PM10","ugm3",1,0.92,41,87.7,125,7,1,"2014"
"Cesar","El paso","PST","ugm3",0,0,75,211.4,267,11,0,"2014"
"Cesar","La jagua de ibirico","PM10","ugm3",0,0,35.5,93.7,98,5,0,"2014"
"Cesar","Chiriguaná","PM10","ugm3",0,0,39,87.2,97,8,0,"2014"
"Cesar","Chiriguaná","PST","ugm3",0,0,68,199.4,247,8,0,"2014"
"Cesar","La jagua de ibirico","PM10","ugm3",1,0.94,38,95.4,109,2,1,"2014"
"Cesar","La jagua de ibirico","PST","ugm3",0,0,100,184.8,215,13,0,"2014"
"Cesar","El paso","PM10","ugm3",4,3.6,52,110.6,123,10,4,"2014"
"Cesar","El paso","PM2.5","ugm3",0,0,19,39,48,4,0,"2014"
"Cesar","El paso","PST","ugm3",1,0.86,105,248.7,310,14,1,"2014"
"Cesar","La jagua de ibirico","PM10","ugm3",11,9.91,61,116.8,150,18,11,"2014"
"Cesar","La jagua de ibirico","PST","ugm3",0,0,98,222.3,256,31,0,"2014"
"Cesar","La paz","PM10","ugm3",0,0,24,53.3,54,16,0,"2014"
"Cesar","La paz","PM2.5","ugm3",0,0,26,44.5,46,9,0,"2014"
"Cesar","Chiriguaná","PM10","ugm3",2,1.9,33,99.8,111,3,2,"2014"
"Cesar","Chiriguaná","PST","ugm3",0,0,78,210.7,246,18,0,"2014"
"Cesar","El paso","PM10","ugm3",0,0,41,83.1,89,7,0,"2014"
"Cesar","El paso","PST","ugm3",0,0,87,223.6,238,9,0,"2014"
"Cesar","Chiriguaná","PM10","ugm3",0,0,35,82.2,92,9,0,"2014"
"Cesar","Becerrill","PM10","ugm3",0,0,42.5,84,92,5,0,"2014"
"Cesar","El paso","PM10","ugm3",3,3,51,105.4,201,16,3,"2014"
"Cesar","La jagua de ibirico","PM10","ugm3",2,1.8,40,98.4,110,2,2,"2014"
"Cesar","Agustín codazzi","PM10","ugm3",0,0,23,50,67,5,0,"2014"
"Cesar","Agustín codazzi","PM2.5","ugm3",0,0,9,17.3,18,2,0,"2014"
"Cesar","Agustín codazzi","PST","ugm3",0,0,51,136.9,145,20,0,"2014"
"La Guajira","Albania","PM10","ugm3",0,0,33,71.3,86,8,0,"2014"
"La Guajira","Barrancas","PM10","ugm3",1,0.82,38.5,68.3,106,13,1,"2014"
"La Guajira","Barrancas","PST","ugm3",0,0,103,175.5,187,22,0,"2014"
"La Guajira","San juan del cesar","PM10","ugm3",3,2.46,50,100.3,111,17,3,"2014"
"La Guajira","Fonseca","PM10","ugm3",0,0,35,69.2,88,11,0,"2014"
"La Guajira","Albania","PM10","ugm3",0,0,28,67.5,78,14,0,"2014"
"La Guajira","Albania","PST","ugm3",0,0,60.5,129.7,205,26,0,"2014"
"La Guajira","San juan del cesar","PM10","ugm3",0,0,41.5,87.9,99,16,0,"2014"
"La Guajira","Hato nuevo","PM10","ugm3",0,0,42.5,83,98,18,0,"2014"
"La Guajira","Barrancas","PM10","ugm3",1,0.82,49,88.9,107,12,1,"2014"
"La Guajira","Albania","PM10","ugm3",0,0,37,79.6,88,10,0,"2014"
"La Guajira","Barrancas","PM10","ugm3",3,2.44,42,105,118,15,3,"2014"
"La Guajira","Barrancas","PST","ugm3",0,0,94,168.6,179,34,0,"2014"
"La Guajira","Barrancas","PM10","ugm3",1,0.82,39,81.2,123,12,1,"2014"
"La Guajira","Barrancas","PM10","ugm3",0,0,45.5,86.5,91,19,0,"2014"
"La Guajira","Fonseca","PM10","ugm3",1,0.82,36,78.2,113,6,1,"2014"
"Nariño","Pasto","PM2.5","ugm3",0,0,8,18.6,25,1,0,"2014"
"Nariño","Pasto","PM10","ugm3",0,0,16,41.3,59,2,0,"2014"
"N. Santander","Cúcuta","PM10","ugm3",0,0,56,75.1,78,37,0,"2014"
"N. Santander","Cúcuta","PM10","ugm3",0,0,68,85.6,90,53,0,"2014"
"N. Santander","Cúcuta","PM10","ugm3",0,0,66,80.5,82,48,0,"2014"
"Tolima","Ibagué","PM10","ugm3",0,0,25,51.9,62,13,0,"2014"
"Cauca","Caloto","O3","ugm3",0,0,26.5,99.1,109.6,0.6,0,"2014"
"Cauca","Caloto","O3","ugm3",4,3.45,28.3,83.9,88.5,3.6,1,"2014"
"Cauca","Caloto","PM10","ugm3",0,0,27,54,64,7,0,"2014"
"Cauca","Caloto","PM10","ugm3",0,0,26.5,34.6,35,24,0,"2014"
"Cauca","Popayán","PM10","ugm3",0,0,30,41.4,58,18,0,"2014"
"Cauca","Guachené","O3","ugm3",10,5.88,27.3,132.2,156.9,0.4,3,"2014"
"Cauca","Guachené","O3","ugm3",34,20.36,35.5,112.4,128.6,2.3,7,"2014"
"Cauca","Guachené","PM10","ugm3",0,0,51,128.6,196,16,0,"2014"
"Cauca","Guachené","PM10","ugm3",0,0,60.5,64,64,33,0,"2014"
"Cauca","Miranda","O3","ugm3",1,0.81,25.3,115.2,128.4,2.1,1,"2014"
"Cauca","Miranda","O3","ugm3",11,9.17,33.1,92.1,93.4,6.6,3,"2014"
"Cauca","Miranda","PM10","ugm3",0,0,46,96.6,110,10,0,"2014"
"Cauca","Miranda","PM10","ugm3",0,0,45.5,48.9,49,39,0,"2014"
"Quindío","Armenia","PM10","ugm3",0,0,25,34,38,11,0,"2014"
"V. del Cauca","Palmira","NO2","ugm3",0,0,9.1,18.8,25.4,2.7,0,"2014"
"V. del Cauca","Palmira","NO2","ugm3",0,0,10.1,12,12.5,6,0,"2014"
"V. del Cauca","Yumbo","CO","mgm3",0,0,0.7,1.3,1.9,0,0,"2014"
"V. del Cauca","Yumbo","CO","mgm3",0,0,0.7,1.2,1.4,0.1,0,"2014"
"V. del Cauca","Yumbo","NO2","ugm3",0,0,11.4,34.3,47.4,1.5,0,"2014"
"V. del Cauca","Yumbo","NO2","ugm3",0,0,12.8,17.2,17.4,6.9,0,"2014"
"V. del Cauca","Yumbo","O3","ugm3",43,2.92,35.2,130.6,186.6,2.6,19,"2014"
"V. del Cauca","Yumbo","O3","ugm3",95,6.48,36.2,102.2,150,4.3,18,"2014"
"V. del Cauca","Yumbo","PM10","ugm3",0,0,62.1,98.7,117,19.9,0,"2014"
"V. del Cauca","Yumbo","PM10","ugm3",4,1.68,60.5,94.3,110,29,4,"2014"
"V. del Cauca","Yumbo","PM2.5","ugm3",0,0,25.3,40,47.8,10.1,0,"2014"
"V. del Cauca","Yumbo","PM2.5","ugm3",0,0,25,38.5,45,12,0,"2014"
"Córdoba","Montería","PM10","ugm3",0,0,43.5,76.4,95,14,0,"2014"
"Córdoba","Montería","PM10","ugm3",0,0,29,59.1,60,6,0,"2014"
"Córdoba","Montería","PM10","ugm3",0,0,28,62,68,11,0,"2014"
"Córdoba","Montería","PM10","ugm3",0,0,29,59.1,60,6,0,"2014"
"V. del Cauca","Cali","O3","ugm3",179,4.02,13.1,133.8,191.3,0.2,87,"2014"
"V. del Cauca","Cali","O3","ugm3",436,9.76,22.7,98.4,137.5,0.4,107,"2014"
"V. del Cauca","Cali","PM2.5","ugm3",0,0,17,49,257,1,0,"2014"
"V. del Cauca","Cali","PM2.5","ugm3",1,0.4,19,31,51,6,1,"2014"
"V. del Cauca","Cali","SO2","ugm3",0,0,3.4,17.8,56.6,0.3,0,"2014"
"V. del Cauca","Cali","SO2","ugm3",0,0,3.5,16.5,35.5,0.3,0,"2014"
"V. del Cauca","Cali","SO2","ugm3",0,0,4.4,12.5,15.4,0.8,0,"2014"
"V. del Cauca","Cali","PM10","ugm3",0,0,35.6,88,183.2,0.2,0,"2014"
"V. del Cauca","Cali","PM10","ugm3",0,0,39,55.6,61,18,0,"2014"
"V. del Cauca","Cali","O3","ugm3",44,0.73,17.9,108.7,161.9,0,33,"2014"
"V. del Cauca","Cali","O3","ugm3",178,3,25.2,83.6,104.2,0.2,60,"2014"
"V. del Cauca","Cali","PM2.5","ugm3",0,0,15,43.3,95,1,0,"2014"
"V. del Cauca","Cali","PM2.5","ugm3",0,0,17,28.1,36,6,0,"2014"
"V. del Cauca","Cali","PM10","ugm3",0,0,20.7,87.7,188.1,0.3,0,"2014"
"V. del Cauca","Cali","PM10","ugm3",0,0,24,52.3,60,3,0,"2014"
"V. del Cauca","Cali","PM2.5","ugm3",0,0,22.5,30,32,11,0,"2014"
"V. del Cauca","Cali","PM10","ugm3",0,0,41.8,110.3,260.8,0.5,0,"2014"
"V. del Cauca","Cali","PM10","ugm3",0,0,46,68,81,15,0,"2014"
"V. del Cauca","Cali","SO2","ugm3",0,0,6.9,43.7,157.5,0.1,0,"2014"
"V. del Cauca","Cali","SO2","ugm3",0,0,7.3,40.3,81.5,0.2,0,"2014"
"V. del Cauca","Cali","SO2","ugm3",0,0,8.5,26,40.3,3.4,0,"2014"
"V. del Cauca","Cali","PM10","ugm3",0,0,45,118,211,2,0,"2014"
"V. del Cauca","Cali","PM10","ugm3",0,0,49,76,91,14,0,"2014"
"V. del Cauca","Cali","O3","ugm3",275,5.53,31.4,140.4,201.1,0,105,"2014"
"V. del Cauca","Cali","O3","ugm3",799,16.45,39.1,112.1,144.5,0,152,"2014"
"V. del Cauca","Cali","PM10","ugm3",0,0,29,73,244,1,0,"2014"
"V. del Cauca","Cali","PM10","ugm3",0,0,31,55,69,6,0,"2014"
"V. del Cauca","Cali","NO2","ugm3",0,0,10.3,43.5,102.1,0,0,"2014"
"V. del Cauca","Cali","NO2","ugm3",0,0,13.2,24.6,37.3,2.8,0,"2014"
"V. del Cauca","Cali","O3","ugm3",501,7.78,23.3,150.6,246.1,0,184,"2014"
"V. del Cauca","Cali","O3","ugm3",942,14.69,31,110.7,141.7,0.1,182,"2014"
"V. del Cauca","Cali","PM2.5","ugm3",0,0,14,38,617,1,0,"2014"
"V. del Cauca","Cali","PM2.5","ugm3",1,0.31,15,26,71,6,1,"2014"
"Bolívar","Cartagena de indias","O3","ugm3",0,0,37.2,74.6,107.8,0,0,"2014"
"Bolívar","Cartagena de indias","O3","ugm3",0,0,37.3,64.2,77.7,3.1,0,"2014"
"Bolívar","Cartagena de indias","PM10","ugm3",0,0,37.4,82.3,359.6,0,0,"2014"
"Bolívar","Cartagena de indias","PM10","ugm3",0,0,40,71.9,81,3,0,"2014"
"Bolívar","Cartagena de indias","PM2.5","ugm3",0,0,22,65.3,116,0,0,"2014"
"Bolívar","Cartagena de indias","PM2.5","ugm3",0,0,24,38,50,14,0,"2014"
"Bolívar","Cartagena de indias","PM10","ugm3",0,0,48,72.5,80,23,0,"2014"
"Bolívar","Cartagena de indias","PM10","ugm3",4,8.51,68,121.5,139,35,4,"2014"
"Bolívar","Cartagena de indias","PM2.5","ugm3",0,0,22,39.4,45,5,0,"2014"
"Bolívar","Cartagena de indias","PM10","ugm3",0,0,47,77.4,84,8,0,"2014"
"Cundinamarca","Bogotá, d.c.","CO","mgm3",0,0,1.2,4.4,7.7,0,0,"2014"
"Cundinamarca","Bogotá, d.c.","CO","mgm3",0,0,1.4,3.3,5.3,0.1,0,"2014"
"Cundinamarca","Bogotá, d.c.","NO","ugm3",0,0,75.5,280,424,0.4,0,"2014"
